,Zone,Lighting Power Density [W/m2],Zone Area [m2],Total Power [W],End Use Subcategory,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Return Air Fraction,Conditioned (Y/N),Consumption [kWh]
4F_LIFT_LOBBYOFFICELIGHTS,4F_LIFT_LOBBY,6.4,9.63,61.6,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,267.57
3F_LIFT_LOBBYOFFICELIGHTS,3F_LIFT_LOBBY,6.4,9.63,61.6,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,267.57
2F_LIFT_LOBBYOFFICELIGHTS,2F_LIFT_LOBBY,6.4,9.38,60.02,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,260.69
1F_LIFT_LOBBYOFFICELIGHTS,1F_LIFT_LOBBY,6.4,9.38,60.02,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,260.69
5F_ELECTRICAL_MECHANICAL_ROOMOFFICELIGHTS,5F_ELECTRICAL_MECHANICAL_ROOM,8.0,234.82,1878.53,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,8159.4
5F_ELECTRICAL_MECHANICAL_ROOM_2OFFICELIGHTS,5F_ELECTRICAL_MECHANICAL_ROOM_2,8.0,232.8,1862.4,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,8089.32
4F_ELECTRICAL_MECHANICAL_ROOMOFFICELIGHTS,4F_ELECTRICAL_MECHANICAL_ROOM,8.0,35.75,285.97,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1242.12
4F_ELECTRICAL_MECHANICAL_ROOM_2OFFICELIGHTS,4F_ELECTRICAL_MECHANICAL_ROOM_2,8.0,68.33,546.61,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,2374.2
4F_ELECTRICAL_MECHANICAL_ROOM_3OFFICELIGHTS,4F_ELECTRICAL_MECHANICAL_ROOM_3,8.0,16.8,134.4,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,583.77
3F_ELECTRICAL_MECHANICAL_ROOMOFFICELIGHTS,3F_ELECTRICAL_MECHANICAL_ROOM,8.0,16.8,134.4,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,583.77
3F_ELECTRICAL_MECHANICAL_ROOM_2OFFICELIGHTS,3F_ELECTRICAL_MECHANICAL_ROOM_2,8.0,68.33,546.61,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,2374.2
3F_ELECTRICAL_MECHANICAL_ROOM_3OFFICELIGHTS,3F_ELECTRICAL_MECHANICAL_ROOM_3,8.0,35.75,285.97,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1242.12
2F_ELECTRICAL_MECHANICAL_ROOMOFFICELIGHTS,2F_ELECTRICAL_MECHANICAL_ROOM,8.0,21.14,169.15,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,734.69
2F_ELECTRICAL_MECHANICAL_ROOM_2OFFICELIGHTS,2F_ELECTRICAL_MECHANICAL_ROOM_2,8.0,16.8,134.4,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,583.77
2F_ELECTRICAL_MECHANICAL_ROOM_3OFFICELIGHTS,2F_ELECTRICAL_MECHANICAL_ROOM_3,8.0,97.46,779.7,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,3386.61
2F_ELECTRICAL_MECHANICAL_ROOM_4OFFICELIGHTS,2F_ELECTRICAL_MECHANICAL_ROOM_4,8.0,35.63,285.03,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1238.04
1F_ELECTRICAL_MECHANICAL_ROOMOFFICELIGHTS,1F_ELECTRICAL_MECHANICAL_ROOM,8.0,69.82,558.59,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,2426.25
1F_ELECTRICAL_MECHANICAL_ROOM_2OFFICELIGHTS,1F_ELECTRICAL_MECHANICAL_ROOM_2,8.0,188.27,1506.19,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,6542.13
1F_ELECTRICAL_MECHANICAL_ROOM_3OFFICELIGHTS,1F_ELECTRICAL_MECHANICAL_ROOM_3,8.0,21.35,170.83,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,741.99
1F_ELECTRICAL_MECHANICAL_ROOM_4OFFICELIGHTS,1F_ELECTRICAL_MECHANICAL_ROOM_4,8.0,97.46,779.7,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,3386.61
1F_ELECTRICAL_MECHANICAL_ROOM_5OFFICELIGHTS,1F_ELECTRICAL_MECHANICAL_ROOM_5,8.0,83.29,666.31,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,2894.12
4F_STAIRWAYOFFICELIGHTS,4F_STAIRWAY,6.0,47.79,286.73,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1245.41
4F_STAIRWAY_2OFFICELIGHTS,4F_STAIRWAY_2,6.0,25.19,151.14,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,656.47
4F_STAIRWAY_3OFFICELIGHTS,4F_STAIRWAY_3,6.0,42.95,257.71,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1119.38
3F_STAIRWAYOFFICELIGHTS,3F_STAIRWAY,6.0,42.95,257.71,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1119.38
3F_STAIRWAY_2OFFICELIGHTS,3F_STAIRWAY_2,6.0,25.19,151.14,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,656.47
3F_STAIRWAY_3OFFICELIGHTS,3F_STAIRWAY_3,6.0,47.79,286.73,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1245.41
2F_STAIRWAYOFFICELIGHTS,2F_STAIRWAY,6.0,25.19,151.14,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,656.47
2F_STAIRWAY_2OFFICELIGHTS,2F_STAIRWAY_2,6.0,47.79,286.73,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1245.41
2F_STAIRWAY_3OFFICELIGHTS,2F_STAIRWAY_3,6.0,69.92,419.55,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1822.31
2F_STAIRWAY_4OFFICELIGHTS,2F_STAIRWAY_4,6.0,42.86,257.15,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1116.93
1F_STAIRWAYOFFICELIGHTS,1F_STAIRWAY,6.0,47.79,286.73,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1245.41
1F_STAIRWAY_2OFFICELIGHTS,1F_STAIRWAY_2,6.0,25.19,151.14,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,656.47
1F_STAIRWAY_3OFFICELIGHTS,1F_STAIRWAY_3,6.0,42.86,257.15,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,1116.93
1F_OFFICE_ENCLOSEDOFFICELIGHTS,1F_OFFICE_ENCLOSED,9.6,27.32,262.32,General,BEAM_OFFICE_LIGHTING,71.53,168.0,71.53,0.0,Y,978.33
2F_RETAIL-MALL_CONCOURSEOFFICELIGHTS,2F_RETAIL-MALL_CONCOURSE,13.6,472.69,6428.59,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,27922.57
4F_RETAIL-MALL_CONCOURSEOFFICELIGHTS,4F_RETAIL-MALL_CONCOURSE,13.6,25.33,344.44,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1496.06
4F_RETAIL-MALL_CONCOURSE_2OFFICELIGHTS,4F_RETAIL-MALL_CONCOURSE_2,13.6,27.35,372.02,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1615.88
4F_RETAIL-MALL_CONCOURSE_3OFFICELIGHTS,4F_RETAIL-MALL_CONCOURSE_3,13.6,134.77,1832.85,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,7960.99
4F_RETAIL-MALL_CONCOURSE_4OFFICELIGHTS,4F_RETAIL-MALL_CONCOURSE_4,13.6,252.93,3439.89,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,14941.16
3F_RETAIL-MALL_CONCOURSEOFFICELIGHTS,3F_RETAIL-MALL_CONCOURSE,13.6,25.33,344.44,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1496.06
3F_RETAIL-MALL_CONCOURSE_2OFFICELIGHTS,3F_RETAIL-MALL_CONCOURSE_2,13.6,472.69,6428.59,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,27922.57
3F_RETAIL-MALL_CONCOURSE_3OFFICELIGHTS,3F_RETAIL-MALL_CONCOURSE_3,13.6,27.35,372.02,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1615.88
2F_RETAIL-MALL_CONCOURSE_2OFFICELIGHTS,2F_RETAIL-MALL_CONCOURSE_2,13.6,25.55,347.42,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1509.02
2F_RETAIL-MALL_CONCOURSE_3OFFICELIGHTS,2F_RETAIL-MALL_CONCOURSE_3,13.6,27.35,372.02,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1615.88
1F_RETAIL-MALL_CONCOURSEOFFICELIGHTS,1F_RETAIL-MALL_CONCOURSE,13.6,27.32,371.62,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1614.11
1F_RETAIL-MALL_CONCOURSE_2OFFICELIGHTS,1F_RETAIL-MALL_CONCOURSE_2,13.6,650.03,8840.44,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,38398.43
4F_RETAIL-SALES_AREAOFFICELIGHTS,4F_RETAIL-SALES_AREA,13.6,413.72,5626.63,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,24439.25
2F_RETAIL-SALES_AREAOFFICELIGHTS,2F_RETAIL-SALES_AREA,13.6,413.72,5626.63,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,24439.25
1F_RETAIL-SALES_AREAOFFICELIGHTS,1F_RETAIL-SALES_AREA,13.6,174.26,2369.96,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,10293.92
1F_RETAIL-SALES_AREA_2OFFICELIGHTS,1F_RETAIL-SALES_AREA_2,13.6,155.51,2114.93,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,9186.18
1F_RETAIL-SALES_AREA_3OFFICELIGHTS,1F_RETAIL-SALES_AREA_3,13.6,126.62,1721.97,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,7479.39
4F_RESTROOMSOFFICELIGHTS,4F_RESTROOMS,8.0,167.55,1340.43,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,5822.17
3F_RESTROOMSOFFICELIGHTS,3F_RESTROOMS,8.0,167.55,1340.43,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,5822.17
2F_RESTROOMSOFFICELIGHTS,2F_RESTROOMS,8.0,167.55,1340.43,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,N,5822.17
4F_VOIDOFFICELIGHTS,4F_VOID,0.0,0.0,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,Y,0.0
2F_KITCHENOFFICELIGHTS,2F_KITCHEN,9.6,73.23,703.05,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,3053.7
4F_KITCHENOFFICELIGHTS,4F_KITCHEN,9.6,140.65,1350.28,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,5864.92
4F_KITCHEN_2OFFICELIGHTS,4F_KITCHEN_2,9.6,73.23,703.05,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,3053.7
4F_KITCHEN_3OFFICELIGHTS,4F_KITCHEN_3,9.6,44.11,423.46,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1839.28
4F_KITCHEN_4OFFICELIGHTS,4F_KITCHEN_4,9.6,105.17,1009.66,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,4385.43
3F_KITCHENOFFICELIGHTS,3F_KITCHEN,9.6,105.17,1009.66,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,4385.43
3F_KITCHEN_2OFFICELIGHTS,3F_KITCHEN_2,9.6,44.11,423.46,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,1839.28
3F_KITCHEN_3OFFICELIGHTS,3F_KITCHEN_3,9.6,73.23,703.05,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,3053.7
3F_KITCHEN_4OFFICELIGHTS,3F_KITCHEN_4,9.6,140.65,1350.28,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,5864.92
2F_KITCHEN_2OFFICELIGHTS,2F_KITCHEN_2,9.6,140.77,1351.37,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,5869.68
2F_KITCHEN_3OFFICELIGHTS,2F_KITCHEN_3,9.6,105.14,1009.39,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,4384.28
1F_KITCHENOFFICELIGHTS,1F_KITCHEN,9.6,72.3,694.12,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,3014.91
1F_KITCHEN_2OFFICELIGHTS,1F_KITCHEN_2,9.6,48.01,460.88,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,2001.82
5F_LIFTOFFICELIGHTS,5F_LIFT,0.0,47.6,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
4F_LIFTOFFICELIGHTS,4F_LIFT,0.0,15.17,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
4F_LIFT_2OFFICELIGHTS,4F_LIFT_2,0.0,30.94,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
3F_LIFTOFFICELIGHTS,3F_LIFT,0.0,30.94,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
3F_LIFT_2OFFICELIGHTS,3F_LIFT_2,0.0,15.17,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
2F_LIFTOFFICELIGHTS,2F_LIFT,0.0,30.94,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
2F_LIFT_2OFFICELIGHTS,2F_LIFT_2,0.0,14.91,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
1F_LIFTOFFICELIGHTS,1F_LIFT,0.0,30.94,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
1F_LIFT_2OFFICELIGHTS,1F_LIFT_2,0.0,14.91,0.0,General,BEAM_RETAIL_LIGHTING,83.3,0.0, ,0.0,N,0.0
4F_RESTAURANT_DINING_ROOMOFFICELIGHTS,4F_RESTAURANT_DINING_ROOM,13.6,90.97,1237.26,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,5374.03
4F_RESTAURANT_DINING_ROOM_2OFFICELIGHTS,4F_RESTAURANT_DINING_ROOM_2,13.6,69.16,940.52,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,4085.16
4F_RESTAURANT_DINING_ROOM_3OFFICELIGHTS,4F_RESTAURANT_DINING_ROOM_3,13.6,472.2,6421.93,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,27893.6
4F_RESTAURANT_DINING_ROOM_4OFFICELIGHTS,4F_RESTAURANT_DINING_ROOM_4,13.6,188.27,2560.52,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,11121.62
3F_RESTAURANT_DINING_ROOMOFFICELIGHTS,3F_RESTAURANT_DINING_ROOM,13.6,69.16,940.52,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,4085.16
3F_RESTAURANT_DINING_ROOM_2OFFICELIGHTS,3F_RESTAURANT_DINING_ROOM_2,13.6,90.97,1237.26,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,5374.03
3F_RESTAURANT_DINING_ROOM_3OFFICELIGHTS,3F_RESTAURANT_DINING_ROOM_3,13.6,413.72,5626.63,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,24439.25
3F_RESTAURANT_DINING_ROOM_4OFFICELIGHTS,3F_RESTAURANT_DINING_ROOM_4,13.6,472.2,6421.93,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,27893.6
3F_RESTAURANT_DINING_ROOM_5OFFICELIGHTS,3F_RESTAURANT_DINING_ROOM_5,13.6,188.27,2560.52,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,11121.62
2F_RESTAURANT_DINING_ROOMOFFICELIGHTS,2F_RESTAURANT_DINING_ROOM,13.6,97.21,1322.0,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,5742.08
2F_RESTAURANT_DINING_ROOM_2OFFICELIGHTS,2F_RESTAURANT_DINING_ROOM_2,13.6,155.44,2113.96,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,9181.96
2F_RESTAURANT_DINING_ROOM_3OFFICELIGHTS,2F_RESTAURANT_DINING_ROOM_3,13.6,472.17,6421.56,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,27892.01
1F_RESTAURANT_DINING_ROOMOFFICELIGHTS,1F_RESTAURANT_DINING_ROOM,13.6,259.41,3528.04,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,15324.03
1F_RESTAURANT_DINING_ROOM_2OFFICELIGHTS,1F_RESTAURANT_DINING_ROOM_2,13.6,402.49,5473.82,General,BEAM_RETAIL_LIGHTING,83.3,168.0,83.3,0.0,Y,23775.5
Interior Lighting Total, ,11.4971,10733.55,123405.04, , , , , , , ,535848.16
