,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
Heating,General,0.0,0.0,0.0,0.0,0.0,0.0
Cooling,General,0.0,0.0,0.0,5658087.47,0.0,0.0
Interior Lighting,General,535848.76,0.0,0.0,0.0,0.0,0.0
Exterior Lighting,General,0.0,0.0,0.0,0.0,0.0,0.0
Interior Equipment,ElectricEquipment,671019.24,0.0,0.0,0.0,0.0,0.0
Exterior Equipment,General,263945.81,0.0,0.0,0.0,0.0,0.0
Fans,Ventilation (simple),65409.4,0.0,0.0,0.0,0.0,0.0
Â ,General,308738.36,0.0,0.0,0.0,0.0,0.0
Pumps,General,239945.96,0.0,0.0,0.0,0.0,0.0
Heat Rejection,General,0.0,0.0,0.0,0.0,0.0,0.0
Humidification,General,0.0,0.0,0.0,0.0,0.0,0.0
Heat Recovery,General,0.0,0.0,0.0,0.0,0.0,0.0
Water Systems,General,0.0,0.0,0.0,0.0,0.0,0.0
Refrigeration,General,0.0,0.0,0.0,0.0,0.0,0.0
Generators,General,0.0,0.0,0.0,0.0,0.0,0.0
