,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
2F_KITCHEN_2,1476.33,3.0,1326.33,0.0
5F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0
4F_STAIRWAY_3,0.0,0.0,0.0,0.0
2F_STAIRWAY_2,0.0,0.0,0.0,0.0
2F_RESTAURANT_DINING_ROOM_2,37.17,0.0,4.67,0.0
1F_STAIRWAY_3,0.0,0.0,0.0,0.0
1F_RETAIL-SALES_AREA_2,2.0,0.0,0.0,0.0
1F_RETAIL-SALES_AREA_3,8.17,0.0,0.17,0.0
1F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0
1F_ELECTRICAL_MECHANICAL_ROOM_3,0.0,0.0,0.0,0.0
2F_RETAIL-MALL_CONCOURSE,0.0,0.0,0.0,0.0
2F_KITCHEN,1363.33,1.0,1219.83,0.0
4F_LIFT_LOBBY,327.83,25.0,265.5,14.0
4F_KITCHEN,1492.0,3.0,1342.17,0.0
4F_RESTAURANT_DINING_ROOM,18.5,0.0,1.17,0.0
4F_RESTAURANT_DINING_ROOM_2,80.33,0.0,22.83,0.0
4F_KITCHEN_2,1384.5,0.17,1240.33,0.0
4F_KITCHEN_3,1437.67,0.0,1290.67,0.0
4F_KITCHEN_4,1350.33,5.67,1213.5,0.0
4F_RETAIL-MALL_CONCOURSE,244.5,2.83,177.67,0.0
4F_RETAIL-MALL_CONCOURSE_2,107.5,0.0,55.67,0.0
4F_RESTAURANT_DINING_ROOM_3,12.33,0.0,0.83,0.0
4F_RESTAURANT_DINING_ROOM_4,54.83,0.0,13.0,0.0
4F_RETAIL-SALES_AREA,36.17,0.0,5.33,0.0
4F_RETAIL-MALL_CONCOURSE_3,0.0,7.83,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_4,0.0,10.33,0.0,0.0
3F_RETAIL-MALL_CONCOURSE,214.0,2.17,151.17,0.0
3F_KITCHEN,1328.5,0.5,1195.0,0.0
3F_KITCHEN_2,1417.17,0.5,1271.5,0.0
3F_KITCHEN_3,1370.83,0.17,1227.5,0.0
3F_RESTAURANT_DINING_ROOM,68.67,0.0,17.33,0.0
3F_RESTAURANT_DINING_ROOM_2,13.83,0.0,0.67,0.0
3F_KITCHEN_4,1480.33,3.17,1331.0,0.0
3F_LIFT_LOBBY,309.67,27.5,251.5,16.5
3F_RESTAURANT_DINING_ROOM_3,15.0,0.0,0.67,0.0
3F_RESTAURANT_DINING_ROOM_4,11.0,0.0,0.67,0.0
3F_RESTAURANT_DINING_ROOM_5,17.33,0.0,1.5,0.0
3F_RETAIL-MALL_CONCOURSE_2,0.0,12.33,0.0,0.0
3F_RETAIL-MALL_CONCOURSE_3,31.67,0.0,11.17,0.0
2F_RESTAURANT_DINING_ROOM,46.83,0.0,8.33,0.0
2F_LIFT_LOBBY,270.0,31.67,217.5,22.33
2F_RETAIL-MALL_CONCOURSE_2,143.67,3.5,94.33,0.0
2F_RETAIL-SALES_AREA,2.67,0.0,0.0,0.0
2F_KITCHEN_3,1373.67,1.83,1235.5,0.0
2F_RESTAURANT_DINING_ROOM_3,21.67,0.0,1.83,0.0
2F_RETAIL-MALL_CONCOURSE_3,35.5,0.0,12.5,0.0
1F_RETAIL-SALES_AREA,9.17,0.0,0.17,0.0
1F_KITCHEN,1343.83,0.0,1198.67,0.0
1F_OFFICE_ENCLOSED,38.5,183.0,36.5,0.0
1F_RETAIL-MALL_CONCOURSE,127.33,0.0,58.67,0.0
1F_RESTAURANT_DINING_ROOM,35.67,0.0,4.83,0.0
1F_LIFT_LOBBY,47.33,24.0,29.5,23.33
1F_KITCHEN_2,1288.17,0.0,1154.17,0.0
1F_RESTAURANT_DINING_ROOM_2,8.33,0.0,0.33,0.0
1F_RETAIL-MALL_CONCOURSE_2,0.0,0.0,0.0,0.0
4F_VOID,0.0,3.17,0.0,0.0
5F_ELECTRICAL_MECHANICAL_ROOM,0.0,0.0,0.0,0.0
5F_LIFT,0.0,0.0,0.0,0.0
4F_ELECTRICAL_MECHANICAL_ROOM,0.0,0.0,0.0,0.0
4F_LIFT,0.0,0.0,0.0,0.0
4F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0
4F_ELECTRICAL_MECHANICAL_ROOM_3,0.0,0.0,0.0,0.0
4F_LIFT_2,0.0,0.0,0.0,0.0
4F_STAIRWAY,0.0,0.0,0.0,0.0
4F_STAIRWAY_2,0.0,0.0,0.0,0.0
4F_RESTROOMS,0.0,0.0,0.0,0.0
3F_RESTROOMS,0.0,0.0,0.0,0.0
3F_STAIRWAY,0.0,0.0,0.0,0.0
3F_STAIRWAY_2,0.0,0.0,0.0,0.0
3F_STAIRWAY_3,0.0,0.0,0.0,0.0
3F_LIFT,0.0,0.0,0.0,0.0
3F_ELECTRICAL_MECHANICAL_ROOM,0.0,0.0,0.0,0.0
3F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0
3F_LIFT_2,0.0,0.0,0.0,0.0
3F_ELECTRICAL_MECHANICAL_ROOM_3,0.0,0.0,0.0,0.0
2F_STAIRWAY,0.0,0.0,0.0,0.0
2F_ELECTRICAL_MECHANICAL_ROOM,0.0,0.0,0.0,0.0
2F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0
2F_LIFT,0.0,0.0,0.0,0.0
2F_STAIRWAY_3,0.0,0.0,0.0,0.0
2F_ELECTRICAL_MECHANICAL_ROOM_3,0.0,0.0,0.0,0.0
2F_RESTROOMS,0.0,0.0,0.0,0.0
2F_STAIRWAY_4,0.0,0.0,0.0,0.0
2F_LIFT_2,0.0,0.0,0.0,0.0
2F_ELECTRICAL_MECHANICAL_ROOM_4,0.0,0.0,0.0,0.0
1F_STAIRWAY,0.0,0.0,0.0,0.0
1F_ELECTRICAL_MECHANICAL_ROOM,0.0,0.0,0.0,0.0
1F_STAIRWAY_2,0.0,0.0,0.0,0.0
1F_LIFT,0.0,0.0,0.0,0.0
1F_ELECTRICAL_MECHANICAL_ROOM_4,0.0,0.0,0.0,0.0
1F_LIFT_2,0.0,0.0,0.0,0.0
1F_ELECTRICAL_MECHANICAL_ROOM_5,0.0,0.0,0.0,0.0
Facility,1494.5,228.33,1370.33,30.33
